Time,RU
0,0
0.1,2.329295073
0.2,4.637319884
0.3,6.924282268
0.4,9.190387998
0.5,11.4358408
0.6,13.6608424
0.7,15.86559251
0.8,18.05028885
0.9,20.21512721
1,22.36030142
1.1,24.48600338
1.2,26.59242312
1.3,28.67974875
1.4,30.74816655
1.5,32.79786092
1.6,34.82901447
1.7,36.84180796
1.8,38.83642039
1.9,40.81302896
2,42.77180916
2.1,44.71293468
2.2,46.63657753
2.3,48.54290801
2.4,50.43209473
2.5,52.30430461
2.6,54.15970296
2.7,55.99845341
2.8,57.82071799
2.9,59.62665712
3,61.41642963
3.1,63.19019278
3.2,64.94810227
3.3,66.69031226
3.4,68.41697539
3.5,70.12824277
3.6,71.82426403
3.7,73.50518731
3.8,75.17115928
3.9,76.82232517
4,78.45882877
4.1,80.08081243
4.2,81.68841711
4.3,83.28178236
4.4,84.86104637
4.5,86.42634593
4.6,87.9778165
4.7,89.51559219
4.8,91.03980579
4.9,92.55058877
5,94.0480713
5.1,95.53238225
5.2,97.00364924
5.3,98.4619986
5.4,99.90755543
5.5,101.3404436
5.6,102.7607857
5.7,104.1687032
5.8,105.5643162
5.9,106.9477439
6,108.319104
6.1,109.6785133
6.2,111.0260872
6.3,112.3619402
6.4,113.6861855
6.5,114.9989352
6.6,116.3003003
6.7,117.5903909
6.8,118.8693157
6.9,120.1371825
7,121.394098
7.1,122.6401678
7.2,123.8754965
7.3,125.1001877
7.4,126.3143439
7.5,127.5180668
7.6,128.7114566
7.7,129.8946131
7.8,131.0676348
7.9,132.2306192
8,133.3836629
8.1,134.5268615
8.2,135.6603099
8.3,136.7841018
8.4,137.8983299
8.5,139.0030863
8.6,140.0984619
8.7,141.1845469
8.8,142.2614305
8.9,143.3292011
9,144.3879461
9.1,145.4377521
9.2,146.4787049
9.3,147.5108894
9.4,148.5343897
9.5,149.549289
9.6,150.5556697
9.7,151.5536135
9.8,152.5432011
9.9,153.5245125
10,154.497627
10.1,155.4626229
10.2,156.419578
10.3,157.3685691
10.4,158.3096724
10.5,159.2429632
10.6,160.1685161
10.7,161.0864051
10.8,161.9967034
10.9,162.8994833
11,163.7948167
11.1,164.6827745
11.2,165.563427
11.3,166.436844
11.4,167.3030942
11.5,168.1622461
11.6,169.0143672
11.7,169.8595244
11.8,170.697784
11.9,171.5292116
12,172.3538722
12.1,173.17183
12.2,173.9831488
12.3,174.7878917
12.4,175.586121
12.5,176.3778987
12.6,177.1632859
12.7,177.9423432
12.8,178.7151306
12.9,179.4817077
13,180.2421332
13.1,180.9964653
13.2,181.7447618
13.3,182.4870798
13.4,183.2234759
13.5,183.9540059
13.6,184.6787255
13.7,185.3976895
13.8,186.1109522
13.9,186.8185674
14,187.5205886
14.1,188.2170684
14.2,188.9080591
14.3,189.5936124
14.4,190.2737796
14.5,190.9486114
14.6,191.618158
14.7,192.2824691
14.8,192.9415941
14.9,193.5955816
15,194.2444799
15.1,194.8883368
15.2,195.5271998
15.3,196.1611155
15.4,196.7901305
15.5,197.4142907
15.6,198.0336417
15.7,198.6482283
15.8,199.2580954
15.9,199.8632869
16,200.4638468
16.1,201.0598182
16.2,201.6512441
16.3,202.2381669
16.4,202.8206288
16.5,203.3986712
16.6,203.9723354
16.7,204.5416623
16.8,205.1066923
16.9,205.6674654
17,206.2240212
17.1,206.776399
17.2,207.3246376
17.3,207.8687755
17.4,208.4088507
