Time,RU
200,328.5
200.1,328.3809741
200.2,328.2620243
200.3,328.1431506
200.4,328.0243529
200.5,327.9056312
200.6,327.7869854
200.7,327.6684155
200.8,327.5499214
200.9,327.4315031
201,327.3131604
201.1,327.1948935
201.2,327.0767022
201.3,326.9585864
201.4,326.8405462
201.5,326.7225814
201.6,326.604692
201.7,326.486878
201.8,326.3691393
201.9,326.2514758
202,326.1338876
202.1,326.0163745
202.2,325.8989365
202.3,325.7815736
202.4,325.6642857
202.5,325.5470727
202.6,325.4299346
202.7,325.3128714
202.8,325.195883
202.9,325.0789693
203,324.9621303
203.1,324.845366
203.2,324.7286763
203.3,324.6120611
203.4,324.4955204
203.5,324.3790542
203.6,324.2626624
203.7,324.1463449
203.8,324.0301017
203.9,323.9139328
204,323.797838
204.1,323.6818174
204.2,323.5658709
204.3,323.4499984
204.4,323.3341999
204.5,323.2184754
204.6,323.1028248
204.7,322.987248
204.8,322.871745
204.9,322.7563158
205,322.6409602
205.1,322.5256783
205.2,322.41047
205.3,322.2953352
205.4,322.1802739
205.5,322.0652861
205.6,321.9503717
205.7,321.8355306
205.8,321.7207628
205.9,321.6060683
206,321.4914469
206.1,321.3768987
206.2,321.2624236
206.3,321.1480216
206.4,321.0336925
206.5,320.9194364
206.6,320.8052532
206.7,320.6911429
206.8,320.5771053
206.9,320.4631405
207,320.3492485
207.1,320.235429
207.2,320.1216822
207.3,320.0080079
207.4,319.8944062
207.5,319.7808769
207.6,319.66742
207.7,319.5540354
207.8,319.4407232
207.9,319.3274832
208,319.2143155
208.1,319.1012199
208.2,318.9881964
208.3,318.875245
208.4,318.7623656
208.5,318.6495582
208.6,318.5368227
208.7,318.4241591
208.8,318.3115673
208.9,318.1990472
209,318.0865989
209.1,317.9742223
209.2,317.8619173
209.3,317.7496839
209.4,317.637522
209.5,317.5254316
209.6,317.4134126
209.7,317.301465
209.8,317.1895888
209.9,317.0777838
210,316.9660501
210.1,316.8543876
210.2,316.7427962
210.3,316.631276
210.4,316.5198267
210.5,316.4084485
210.6,316.2971413
210.7,316.1859049
210.8,316.0747394
210.9,315.9636447
211,315.8526207
211.1,315.7416675
211.2,315.630785
211.3,315.519973
211.4,315.4092317
211.5,315.2985608
211.6,315.1879604
211.7,315.0774305
211.8,314.9669709
211.9,314.8565817
212,314.7462627
212.1,314.636014
212.2,314.5258355
212.3,314.4157271
212.4,314.3056888
212.5,314.1957206
212.6,314.0858223
212.7,313.975994
212.8,313.8662357
212.9,313.7565471
213,313.6469284
213.1,313.5373794
213.2,313.4279002
213.3,313.3184906
213.4,313.2091507
213.5,313.0998803
213.6,312.9906794
213.7,312.8815481
213.8,312.7724861
213.9,312.6634936
214,312.5545703
214.1,312.4457164
214.2,312.3369317
214.3,312.2282163
214.4,312.1195699
214.5,312.0109927
214.6,311.9024845
214.7,311.7940454
214.8,311.6856752
214.9,311.5773739
215,311.4691415
215.1,311.360978
215.2,311.2528832
215.3,311.1448571
215.4,311.0368997
215.5,310.929011
215.6,310.8211908
215.7,310.7134392
215.8,310.6057561
215.9,310.4981414
216,310.3905952
216.1,310.2831173
216.2,310.1757077
216.3,310.0683664
216.4,309.9610934
216.5,309.8538884
216.6,309.7467517
216.7,309.639683
216.8,309.5326823
216.9,309.4257497
217,309.3188849
217.1,309.2120881
217.2,309.1053591
217.3,308.998698
217.4,308.8921046
217.5,308.7855789
217.6,308.6791209
217.7,308.5727305
217.8,308.4664077
217.9,308.3601524
218,308.2539646
218.1,308.1478443
218.2,308.0417913
218.3,307.9358057
218.4,307.8298874
218.5,307.7240364
218.6,307.6182525
218.7,307.5125359
218.8,307.4068863
218.9,307.3013039
219,307.1957885
219.1,307.09034
219.2,306.9849585
219.3,306.8796439
219.4,306.7743962
219.5,306.6692152
219.6,306.564101
219.7,306.4590536
219.8,306.3540727
219.9,306.2491586
220,306.144311
220.1,306.0395299
220.2,305.9348153
220.3,305.8301672
220.4,305.7255855
220.5,305.6210701
220.6,305.516621
220.7,305.4122382
220.8,305.3079217
220.9,305.2036712
221,305.099487
221.1,304.9953688
221.2,304.8913166
221.3,304.7873305
221.4,304.6834103
221.5,304.579556
221.6,304.4757676
221.7,304.372045
221.8,304.2683881
221.9,304.164797
222,304.0612716
222.1,303.9578118
222.2,303.8544176
222.3,303.751089
222.4,303.6478259
222.5,303.5446282
222.6,303.4414959
222.7,303.3384291
222.8,303.2354275
222.9,303.1324913
223,303.0296203
223.1,302.9268144
223.2,302.8240738
223.3,302.7213982
223.4,302.6187877
223.5,302.5162423
223.6,302.4137618
223.7,302.3113462
223.8,302.2089956
223.9,302.1067097
224,302.0044887
224.1,301.9023324
224.2,301.8002409
224.3,301.698214
224.4,301.5962518
224.5,301.4943541
224.6,301.392521
224.7,301.2907523
224.8,301.1890482
224.9,301.0874084
225,300.985833
225.1,300.8843219
225.2,300.7828751
225.3,300.6814925
225.4,300.5801741
225.5,300.4789199
225.6,300.3777297
225.7,300.2766037
225.8,300.1755416
225.9,300.0745435
226,299.9736094
226.1,299.8727391
226.2,299.7719327
226.3,299.6711901
226.4,299.5705112
226.5,299.4698961
226.6,299.3693446
226.7,299.2688567
226.8,299.1684325
226.9,299.0680718
227,298.9677746
227.1,298.8675408
227.2,298.7673704
227.3,298.6672635
227.4,298.5672198
227.5,298.4672395
227.6,298.3673223
227.7,298.2674684
227.8,298.1676776
227.9,298.06795
228,297.9682854
228.1,297.8686839
228.2,297.7691453
228.3,297.6696697
228.4,297.570257
228.5,297.4709071
228.6,297.3716201
228.7,297.2723958
228.8,297.1732342
228.9,297.0741354
229,296.9750992
229.1,296.8761256
229.2,296.7772145
229.3,296.678366
229.4,296.57958
229.5,296.4808564
229.6,296.3821952
229.7,296.2835963
229.8,296.1850597
229.9,296.0865854
230,295.9881734
230.1,295.8898235
230.2,295.7915357
230.3,295.6933101
230.4,295.5951465
230.5,295.4970449
230.6,295.3990053
230.7,295.3010276
230.8,295.2031118
230.9,295.1052579
231,295.0074657
231.1,294.9097354
231.2,294.8120667
231.3,294.7144597
231.4,294.6169144
231.5,294.5194306
231.6,294.4220084
231.7,294.3246478
231.8,294.2273486
231.9,294.1301108
232,294.0329344
232.1,293.9358193
232.2,293.8387656
232.3,293.7417731
232.4,293.6448419
232.5,293.5479718
232.6,293.4511628
232.7,293.354415
232.8,293.2577282
232.9,293.1611025
233,293.0645377
233.1,292.9680338
233.2,292.8715908
233.3,292.7752087
233.4,292.6788874
233.5,292.5826268
233.6,292.486427
233.7,292.3902879
233.8,292.2942094
233.9,292.1981915
234,292.1022342
234.1,292.0063374
234.2,291.9105011
234.3,291.8147252
234.4,291.7190097
234.5,291.6233546
234.6,291.5277598
234.7,291.4322253
234.8,291.336751
234.9,291.2413369
235,291.1459829
235.1,291.0506891
235.2,290.9554554
235.3,290.8602816
235.4,290.7651679
235.5,290.6701141
235.6,290.5751203
235.7,290.4801863
235.8,290.3853121
235.9,290.2904977
236,290.1957431
236.1,290.1010482
236.2,290.0064129
236.3,289.9118373
236.4,289.8173212
236.5,289.7228648
236.6,289.6284678
236.7,289.5341303
236.8,289.4398522
236.9,289.3456335
237,289.2514741
237.1,289.157374
237.2,289.0633333
237.3,288.9693517
237.4,288.8754293
237.5,288.7815661
237.6,288.687762
237.7,288.5940169
237.8,288.5003309
237.9,288.4067038
238,288.3131357
238.1,288.2196265
238.2,288.1261762
238.3,288.0327847
238.4,287.939452
238.5,287.846178
238.6,287.7529628
238.7,287.6598062
238.8,287.5667082
238.9,287.4736688
239,287.380688
239.1,287.2877657
239.2,287.1949019
239.3,287.1020964
239.4,287.0093494
239.5,286.9166607
239.6,286.8240304
239.7,286.7314583
239.8,286.6389444
239.9,286.5464888
240,286.4540912
240.1,286.3617519
240.2,286.2694705
240.3,286.1772472
240.4,286.085082
240.5,285.9929746
240.6,285.9009252
240.7,285.8089337
240.8,285.717
240.9,285.6251241
241,285.533306
241.1,285.4415456
241.2,285.3498429
241.3,285.2581978
241.4,285.1666103
241.5,285.0750804
241.6,284.983608
241.7,284.8921932
241.8,284.8008357
241.9,284.7095357
242,284.6182931
242.1,284.5271077
242.2,284.4359797
242.3,284.344909
242.4,284.2538954
242.5,284.162939
242.6,284.0720398
242.7,283.9811977
242.8,283.8904126
242.9,283.7996846
243,283.7090136
243.1,283.6183995
243.2,283.5278423
243.3,283.4373419
243.4,283.3468985
243.5,283.2565118
243.6,283.1661818
243.7,283.0759086
243.8,282.9856921
243.9,282.8955322
244,282.8054289
244.1,282.7153821
244.2,282.6253919
244.3,282.5354582
244.4,282.4455809
244.5,282.3557601
244.6,282.2659956
244.7,282.1762874
244.8,282.0866356
244.9,281.99704
245,281.9075006
245.1,281.8180174
245.2,281.7285903
245.3,281.6392194
245.4,281.5499045
245.5,281.4606457
245.6,281.3714428
245.7,281.2822959
245.8,281.193205
245.9,281.1041699
246,281.0151906
246.1,280.9262671
246.2,280.8373995
246.3,280.7485875
246.4,280.6598312
246.5,280.5711306
246.6,280.4824856
246.7,280.3938962
246.8,280.3053623
246.9,280.216884
247,280.128461
247.1,280.0400936
247.2,279.9517815
247.3,279.8635247
247.4,279.7753233
247.5,279.6871772
247.6,279.5990863
247.7,279.5110506
247.8,279.42307
247.9,279.3351446
248,279.2472743
248.1,279.1594591
248.2,279.0716988
248.3,278.9839936
248.4,278.8963433
248.5,278.8087479
248.6,278.7212073
248.7,278.6337216
248.8,278.5462907
248.9,278.4589145
249,278.3715931
249.1,278.2843264
249.2,278.1971143
249.3,278.1099568
249.4,278.0228538
249.5,277.9358055
249.6,277.8488116
249.7,277.7618721
249.8,277.6749871
249.9,277.5881565
250,277.5013803
250.1,277.4146583
250.2,277.3279907
250.3,277.2413772
250.4,277.154818
250.5,277.068313
250.6,276.9818621
250.7,276.8954652
250.8,276.8091225
250.9,276.7228337
251,276.636599
251.1,276.5504182
251.2,276.4642913
251.3,276.3782183
251.4,276.2921991
251.5,276.2062337
251.6,276.1203221
251.7,276.0344642
251.8,275.9486601
251.9,275.8629095
252,275.7772126
252.1,275.6915693
252.2,275.6059796
252.3,275.5204433
252.4,275.4349605
252.5,275.3495312
252.6,275.2641553
252.7,275.1788327
252.8,275.0935635
252.9,275.0083476
253,274.9231849
253.1,274.8380755
253.2,274.7530192
253.3,274.6680161
253.4,274.5830661
253.5,274.4981692
253.6,274.4133254
253.7,274.3285345
253.8,274.2437966
253.9,274.1591117
254,274.0744797
254.1,273.9899005
254.2,273.9053741
254.3,273.8209006
254.4,273.7364798
254.5,273.6521118
254.6,273.5677964
254.7,273.4835337
254.8,273.3993236
254.9,273.315166
255,273.2310611
255.1,273.1470086
255.2,273.0630086
255.3,272.979061
255.4,272.8951659
255.5,272.8113231
255.6,272.7275327
255.7,272.6437945
255.8,272.5601086
255.9,272.476475
256,272.3928935
256.1,272.3093642
256.2,272.225887
256.3,272.1424619
256.4,272.0590888
256.5,271.9757678
256.6,271.8924987
256.7,271.8092816
256.8,271.7261164
256.9,271.6430031
257,271.5599416
257.1,271.4769319
257.2,271.393974
257.3,271.3110678
257.4,271.2282133
257.5,271.1454105
257.6,271.0626594
257.7,270.9799598
257.8,270.8973117
257.9,270.8147152
258,270.7321702
258.1,270.6496767
258.2,270.5672345
258.3,270.4848438
258.4,270.4025044
258.5,270.3202163
258.6,270.2379795
258.7,270.155794
258.8,270.0736596
258.9,269.9915765
259,269.9095445
259.1,269.8275636
259.2,269.7456338
259.3,269.663755
259.4,269.5819272
259.5,269.5001504
259.6,269.4184245
259.7,269.3367495
259.8,269.2551254
259.9,269.1735522
260,269.0920297
260.1,269.010558
260.2,268.929137
260.3,268.8477668
260.4,268.7664472
260.5,268.6851782
260.6,268.6039598
260.7,268.522792
260.8,268.4416747
260.9,268.3606079
261,268.2795915
261.1,268.1986256
261.2,268.11771
261.3,268.0368448
261.4,267.95603
261.5,267.8752654
261.6,267.7945511
261.7,267.713887
261.8,267.6332731
261.9,267.5527093
262,267.4721957
262.1,267.3917321
262.2,267.3113186
262.3,267.2309551
262.4,267.1506416
262.5,267.070378
262.6,266.9901643
262.7,266.9100006
262.8,266.8298866
262.9,266.7498225
263,266.6698082
263.1,266.5898436
263.2,266.5099287
263.3,266.4300636
263.4,266.350248
263.5,266.2704821
263.6,266.1907657
263.7,266.1110989
263.8,266.0314816
263.9,265.9519138
264,265.8723954
264.1,265.7929265
264.2,265.7135069
264.3,265.6341366
264.4,265.5548157
264.5,265.4755441
264.6,265.3963217
264.7,265.3171485
264.8,265.2380244
264.9,265.1589496
265,265.0799238
265.1,265.0009471
265.2,264.9220195
265.3,264.8431409
265.4,264.7643112
265.5,264.6855306
265.6,264.6067988
265.7,264.5281159
265.8,264.4494818
265.9,264.3708966
266,264.2923601
266.1,264.2138724
266.2,264.1354334
266.3,264.0570431
266.4,263.9787014
266.5,263.9004084
266.6,263.8221639
266.7,263.743968
266.8,263.6658206
266.9,263.5877217
267,263.5096713
267.1,263.4316692
267.2,263.3537156
267.3,263.2758103
267.4,263.1979533
267.5,263.1201446
267.6,263.0423842
267.7,262.964672
267.8,262.887008
267.9,262.8093922
268,262.7318244
268.1,262.6543048
268.2,262.5768333
268.3,262.4994097
268.4,262.4220342
268.5,262.3447066
268.6,262.267427
268.7,262.1901952
268.8,262.1130113
268.9,262.0358753
269,261.9587871
269.1,261.8817466
269.2,261.8047539
269.3,261.7278088
269.4,261.6509115
269.5,261.5740618
269.6,261.4972597
269.7,261.4205051
269.8,261.3437982
269.9,261.2671387
270,261.1905267
270.1,261.1139622
270.2,261.0374451
270.3,260.9609753
270.4,260.8845529
270.5,260.8081779
270.6,260.7318501
270.7,260.6555696
270.8,260.5793363
270.9,260.5031502
271,260.4270113
271.1,260.3509194
271.2,260.2748747
271.3,260.1988771
271.4,260.1229265
271.5,260.0470229
271.6,259.9711662
271.7,259.8953565
271.8,259.8195937
271.9,259.7438778
272,259.6682087
272.1,259.5925865
272.2,259.517011
272.3,259.4414823
272.4,259.3660002
272.5,259.2905649
272.6,259.2151762
272.7,259.1398342
272.8,259.0645387
272.9,258.9892898
273,258.9140874
