Time,RU
0,0
0.1,0.149540176
0.2,0.298960768
0.3,0.448261871
0.4,0.59744358
0.5,0.746505993
0.6,0.895449203
0.7,1.044273306
0.8,1.192978397
0.9,1.341564572
1,1.490031925
1.1,1.638380553
1.2,1.786610548
1.3,1.934722007
1.4,2.082715025
1.5,2.230589695
1.6,2.378346113
1.7,2.525984373
1.8,2.673504569
1.9,2.820906797
2,2.96819115
2.1,3.115357722
2.2,3.262406609
2.3,3.409337903
2.4,3.556151699
2.5,3.702848092
2.6,3.849427174
2.7,3.995889039
2.8,4.142233782
2.9,4.288461497
3,4.434572275
3.1,4.580566212
3.2,4.7264434
3.3,4.872203934
3.4,5.017847905
3.5,5.163375408
3.6,5.308786536
3.7,5.454081381
3.8,5.599260036
3.9,5.744322596
4,5.889269151
4.1,6.034099796
4.2,6.178814622
4.3,6.323413723
4.4,6.467897191
4.5,6.612265119
4.6,6.756517598
4.7,6.900654721
4.8,7.044676581
4.9,7.188583269
5,7.332374879
5.1,7.4760515
5.2,7.619613227
5.3,7.76306015
5.4,7.906392361
5.5,8.049609953
5.6,8.192713016
5.7,8.335701642
5.8,8.478575924
5.9,8.621335951
6,8.763981817
6.1,8.906513611
6.2,9.048931425
6.3,9.191235351
6.4,9.333425479
6.5,9.4755019
6.6,9.617464706
6.7,9.759313987
6.8,9.901049834
6.9,10.04267234
7,10.18418159
7.1,10.32557768
7.2,10.46686069
7.3,10.60803073
7.4,10.74908788
7.5,10.89003222
7.6,11.03086385
7.7,11.17158287
7.8,11.31218935
7.9,11.45268339
8,11.59306509
8.1,11.73333452
8.2,11.87349178
8.3,12.01353696
8.4,12.15347015
8.5,12.29329144
8.6,12.43300092
8.7,12.57259867
8.8,12.71208479
8.9,12.85145936
9,12.99072248
9.1,13.12987424
9.2,13.26891471
9.3,13.407844
9.4,13.54666219
9.5,13.68536937
9.6,13.82396563
9.7,13.96245106
9.8,14.10082574
9.9,14.23908977
10,14.37724323
10.1,14.51528621
10.2,14.6532188
10.3,14.79104109
10.4,14.92875316
10.5,15.06635511
10.6,15.20384702
10.7,15.34122898
10.8,15.47850108
10.9,15.61566341
11,15.75271605
11.1,15.8896591
11.2,16.02649263
11.3,16.16321674
11.4,16.29983151
11.5,16.43633704
11.6,16.5727334
11.7,16.70902069
11.8,16.845199
11.9,16.9812684
12,17.117229
12.1,17.25308086
12.2,17.38882409
12.3,17.52445877
12.4,17.65998499
12.5,17.79540283
12.6,17.93071237
12.7,18.06591372
12.8,18.20100694
12.9,18.33599213
13,18.47086938
13.1,18.60563877
13.2,18.74030039
13.3,18.87485432
13.4,19.00930065
13.5,19.14363947
13.6,19.27787086
13.7,19.4119949
13.8,19.54601169
13.9,19.67992131
14,19.81372385
14.1,19.94741938
14.2,20.081008
14.3,20.2144898
14.4,20.34786485
14.5,20.48113324
14.6,20.61429506
14.7,20.7473504
14.8,20.88029933
14.9,21.01314195
15,21.14587833
15.1,21.27850857
15.2,21.41103275
15.3,21.54345095
15.4,21.67576326
15.5,21.80796975
15.6,21.94007053
15.7,22.07206567
15.8,22.20395525
15.9,22.33573937
16,22.4674181
16.1,22.59899153
16.2,22.73045974
16.3,22.86182282
16.4,22.99308085
16.5,23.12423392
16.6,23.25528211
16.7,23.3862255
16.8,23.51706417
16.9,23.64779822
17,23.77842772
17.1,23.90895277
17.2,24.03937343
17.3,24.1696898
17.4,24.29990195
17.5,24.43000998
17.6,24.56001396
17.7,24.68991399
17.8,24.81971013
17.9,24.94940248
18,25.07899111
18.1,25.20847612
18.2,25.33785758
18.3,25.46713557
18.4,25.59631019
18.5,25.72538151
18.6,25.85434961
18.7,25.98321457
18.8,26.11197649
18.9,26.24063544
19,26.3691915
19.1,26.49764476
19.2,26.6259953
19.3,26.75424319
19.4,26.88238854
19.5,27.0104314
19.6,27.13837187
19.7,27.26621003
19.8,27.39394596
19.9,27.52157975
20,27.64911146
20.1,27.7765412
20.2,27.90386902
20.3,28.03109503
20.4,28.1582193
20.5,28.28524191
20.6,28.41216294
20.7,28.53898247
20.8,28.66570059
20.9,28.79231738
21,28.91883291
21.1,29.04524728
21.2,29.17156055
21.3,29.29777281
21.4,29.42388414
21.5,29.54989462
21.6,29.67580433
21.7,29.80161336
21.8,29.92732178
21.9,30.05292967
22,30.17843712
22.1,30.3038442
22.2,30.42915099
22.3,30.55435758
22.4,30.67946405
22.5,30.80447047
22.6,30.92937692
22.7,31.05418349
22.8,31.17889025
22.9,31.30349729
23,31.42800468
23.1,31.55241251
23.2,31.67672085
23.3,31.80092978
23.4,31.92503939
23.5,32.04904975
23.6,32.17296094
23.7,32.29677304
23.8,32.42048613
23.9,32.54410028
24,32.66761559
24.1,32.79103213
24.2,32.91434997
24.3,33.03756919
24.4,33.16068988
24.5,33.28371212
24.6,33.40663597
24.7,33.52946152
24.8,33.65218886
24.9,33.77481805
25,33.89734917
25.1,34.01978232
25.2,34.14211755
25.3,34.26435495
25.4,34.38649461
25.5,34.50853659
25.6,34.63048097
25.7,34.75232784
25.8,34.87407728
25.9,34.99572935
26,35.11728413
26.1,35.23874172
26.2,35.36010217
26.3,35.48136558
26.4,35.60253201
26.5,35.72360156
26.6,35.84457428
26.7,35.96545026
26.8,36.08622958
26.9,36.20691232
27,36.32749855
27.1,36.44798835
27.2,36.56838179
27.3,36.68867896
27.4,36.80887993
27.5,36.92898478
27.6,37.04899358
27.7,37.16890642
27.8,37.28872336
27.9,37.40844449
28,37.52806987
28.1,37.6475996
28.2,37.76703374
28.3,37.88637237
28.4,38.00561557
28.5,38.12476341
28.6,38.24381597
28.7,38.36277333
28.8,38.48163556
28.9,38.60040274
29,38.71907494
29.1,38.83765224
29.2,38.95613472
29.3,39.07452245
29.4,39.19281551
29.5,39.31101397
29.6,39.42911792
29.7,39.54712741
29.8,39.66504254
29.9,39.78286337
30,39.90058998
30.1,40.01822245
30.2,40.13576085
30.3,40.25320526
30.4,40.37055575
30.5,40.48781239
30.6,40.60497527
30.7,40.72204446
30.8,40.83902003
30.9,40.95590205
31,41.07269061
31.1,41.18938577
31.2,41.30598761
31.3,41.42249621
31.4,41.53891165
31.5,41.65523398
31.6,41.7714633
31.7,41.88759966
31.8,42.00364316
31.9,42.11959386
32,42.23545184
32.1,42.35121716
32.2,42.46688991
32.3,42.58247016
32.4,42.69795799
32.5,42.81335345
32.6,42.92865664
32.7,43.04386763
32.8,43.15898648
32.9,43.27401327
33,43.38894808
33.1,43.50379098
33.2,43.61854204
33.3,43.73320134
33.4,43.84776895
33.5,43.96224493
33.6,44.07662938
33.7,44.19092235
33.8,44.30512393
33.9,44.41923418
34,44.53325318
34.1,44.647181
34.2,44.76101771
34.3,44.87476339
34.4,44.98841811
34.5,45.10198195
34.6,45.21545497
34.7,45.32883724
34.8,45.44212885
34.9,45.55532986
35,45.66844035
35.1,45.78146038
35.2,45.89439004
35.3,46.00722938
35.4,46.11997849
35.5,46.23263744
35.6,46.3452063
35.7,46.45768513
35.8,46.57007402
35.9,46.68237304
36,46.79458225
36.1,46.90670173
36.2,47.01873155
36.3,47.13067179
36.4,47.2425225
36.5,47.35428377
36.6,47.46595567
36.7,47.57753827
36.8,47.68903163
36.9,47.80043584
37,47.91175096
37.1,48.02297706
37.2,48.13411422
37.3,48.2451625
37.4,48.35612198
37.5,48.46699273
37.6,48.57777482
37.7,48.68846832
37.8,48.79907329
37.9,48.90958982
38,49.02001797
38.1,49.13035782
38.2,49.24060942
38.3,49.35077287
38.4,49.46084821
38.5,49.57083553
38.6,49.6807349
38.7,49.79054638
38.8,49.90027005
38.9,50.00990597
39,50.11945422
39.1,50.22891487
39.2,50.33828798
39.3,50.44757363
39.4,50.55677189
39.5,50.66588282
39.6,50.7749065
39.7,50.88384299
39.8,50.99269237
39.9,51.10145471
40,51.21013007
40.1,51.31871852
40.2,51.42722014
40.3,51.53563499
40.4,51.64396315
40.5,51.75220467
40.6,51.86035964
40.7,51.96842812
40.8,52.07641018
40.9,52.18430589
41,52.29211532
41.1,52.39983853
41.2,52.5074756
41.3,52.61502659
41.4,52.72249158
41.5,52.82987063
41.6,52.93716381
41.7,53.04437119
41.8,53.15149284
41.9,53.25852882
42,53.36547921
42.1,53.47234408
42.2,53.57912348
42.3,53.6858175
42.4,53.7924262
42.5,53.89894964
42.6,54.0053879
42.7,54.11174105
42.8,54.21800914
42.9,54.32419225
43,54.43029045
43.1,54.53630381
43.2,54.64223239
43.3,54.74807626
43.4,54.85383549
43.5,54.95951015
43.6,55.0651003
43.7,55.17060601
43.8,55.27602735
43.9,55.38136439
44,55.48661719
44.1,55.59178582
44.2,55.69687036
44.3,55.80187085
44.4,55.90678738
44.5,56.01162002
44.6,56.11636881
44.7,56.22103385
44.8,56.32561518
44.9,56.43011289
45,56.53452702
45.1,56.63885767
45.2,56.74310487
45.3,56.84726872
45.4,56.95134927
45.5,57.05534658
45.6,57.15926073
45.7,57.26309179
45.8,57.36683981
45.9,57.47050487
46,57.57408702
46.1,57.67758635
46.2,57.78100291
46.3,57.88433677
46.4,57.98758799
46.5,58.09075665
46.6,58.1938428
46.7,58.29684652
46.8,58.39976787
46.9,58.50260691
47,58.60536372
47.1,58.70803835
47.2,58.81063088
47.3,58.91314137
47.4,59.01556988
47.5,59.11791648
47.6,59.22018123
47.7,59.32236421
47.8,59.42446547
47.9,59.52648509
48,59.62842312
48.1,59.73027963
48.2,59.83205469
48.3,59.93374837
48.4,60.03536072
48.5,60.13689181
48.6,60.23834171
48.7,60.33971048
48.8,60.4409982
48.9,60.54220491
49,60.64333069
49.1,60.7443756
49.2,60.84533971
49.3,60.94622308
49.4,61.04702577
49.5,61.14774786
49.6,61.2483894
49.7,61.34895046
49.8,61.4494311
49.9,61.54983139
50,61.65015139
50.1,61.75039117
50.2,61.85055079
50.3,61.95063031
50.4,62.0506298
50.5,62.15054932
50.6,62.25038894
50.7,62.35014872
50.8,62.44982873
50.9,62.54942902
51,62.64894966
