Time,RU
200,149.5
200.1,149.3957365
200.2,149.291546
200.3,149.1874283
200.4,149.0833835
200.5,148.9794116
200.6,148.8755123
200.7,148.7716858
200.8,148.667932
200.9,148.5642507
201,148.460642
201.1,148.3571058
201.2,148.253642
201.3,148.1502507
201.4,148.0469317
201.5,147.943685
201.6,147.8405105
201.7,147.7374082
201.8,147.6343781
201.9,147.5314201
202,147.4285341
202.1,147.3257201
202.2,147.2229781
202.3,147.1203079
202.4,147.0177096
202.5,146.9151831
202.6,146.8127283
202.7,146.7103453
202.8,146.6080338
202.9,146.505794
203,146.4036257
203.1,146.3015289
203.2,146.1995036
203.3,146.0975496
203.4,145.995667
203.5,145.8938556
203.6,145.7921156
203.7,145.6904467
203.8,145.5888489
203.9,145.4873223
204,145.3858667
204.1,145.284482
204.2,145.1831684
204.3,145.0819256
204.4,144.9807536
204.5,144.8796525
204.6,144.7786221
204.7,144.6776624
204.8,144.5767734
204.9,144.4759549
205,144.375207
205.1,144.2745296
205.2,144.1739227
205.3,144.0733861
205.4,143.9729199
205.5,143.872524
205.6,143.7721984
205.7,143.6719429
205.8,143.5717576
205.9,143.4716424
206,143.3715973
206.1,143.2716222
206.2,143.171717
206.3,143.0718818
206.4,142.9721164
206.5,142.8724208
206.6,142.772795
206.7,142.6732389
206.8,142.5737524
206.9,142.4743356
207,142.3749883
207.1,142.2757106
207.2,142.1765023
207.3,142.0773635
207.4,141.978294
207.5,141.8792938
207.6,141.780363
207.7,141.6815013
207.8,141.5827088
207.9,141.4839855
208,141.3853312
208.1,141.286746
208.2,141.1882298
208.3,141.0897825
208.4,140.9914041
208.5,140.8930945
208.6,140.7948537
208.7,140.6966817
208.8,140.5985784
208.9,140.5005437
209,140.4025776
209.1,140.30468
209.2,140.206851
209.3,140.1090904
209.4,140.0113983
209.5,139.9137745
209.6,139.816219
209.7,139.7187317
209.8,139.6213127
209.9,139.5239619
210,139.4266792
210.1,139.3294645
210.2,139.2323179
210.3,139.1352393
210.4,139.0382285
210.5,138.9412857
210.6,138.8444107
210.7,138.7476035
210.8,138.6508641
210.9,138.5541923
211,138.4575882
211.1,138.3610517
211.2,138.2645827
211.3,138.1681812
211.4,138.0718472
211.5,137.9755806
211.6,137.8793814
211.7,137.7832495
211.8,137.6871848
211.9,137.5911874
212,137.4952572
212.1,137.399394
212.2,137.303598
212.3,137.207869
212.4,137.112207
212.5,137.0166119
212.6,136.9210837
212.7,136.8256223
212.8,136.7302278
212.9,136.6349
213,136.5396389
213.1,136.4444445
213.2,136.3493167
213.3,136.2542554
213.4,136.1592607
213.5,136.0643325
213.6,135.9694706
213.7,135.8746752
213.8,135.7799461
213.9,135.6852832
214,135.5906867
214.1,135.4961563
214.2,135.401692
214.3,135.3072939
214.4,135.2129618
214.5,135.1186957
214.6,135.0244956
214.7,134.9303614
214.8,134.8362931
214.9,134.7422906
215,134.6483539
215.1,134.5544829
215.2,134.4606776
215.3,134.3669379
215.4,134.2732638
215.5,134.1796553
215.6,134.0861123
215.7,133.9926348
215.8,133.8992226
